date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_rsp.us,w_vt.us,w_xle.us,w_xlf.us,w_xli.us,w_xlk.us,w_xlp.us,w_xlv.us
2006-10-01,0.009000875905158967,0.008000875905158966,0.25,2,True,0.001,0.9552169122094054,-0.07186010423827838,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2006-11-01,0.0008358815682472098,0.0008358815682472098,0.0,0,False,0.0,0.9628508863976126,-0.06444252618168611,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2006-12-01,-0.006799278681387216,-0.007799278681387216,0.25,2,True,0.001,0.9626920599908163,-0.06459685042235219,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2007-01-01,0.007032380811053729,0.006032380811053729,0.25,2,True,0.001,0.9630369579624483,-0.06426172908671912,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2007-02-01,-0.013673741441398185,-0.013673741441398185,0.0,0,False,0.0,0.9688395911853729,-0.05862357996495393,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2007-03-01,-0.00019620835326200625,-0.00019620835326200625,0.0,0,False,0.0,0.9555919291173142,-0.07149571773154217,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2007-04-01,0.02777220598449487,0.025772205984494867,0.5,4,True,0.002,0.9569585567504904,-0.0701678291516934,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2007-05-01,0.02093380253776267,0.019933802537762668,0.25,2,True,0.001,0.9805867677572823,-0.047209394244845604,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2007-06-01,-0.003451909757769711,-0.003451909757769711,0.0,0,False,0.0,1.0011141775246561,-0.02726386384413193,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2007-07-01,-0.0025158291358868823,-0.0035158291358868823,0.25,2,True,0.001,0.9931965799027181,-0.03495702561459457,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
2007-08-01,0.007666371674590666,0.007666371674590666,0.0,0,False,0.0,0.9897071691423266,-0.038347523938089156,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
2007-09-01,0.030266490739400576,0.030266490739400576,0.0,0,False,0.0,0.9915853558284159,-0.036522577192730665,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
2007-10-01,-0.015942431326424228,-0.015942431326424228,0.0,0,False,0.0,1.021597164817922,-0.007361496697712688,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
2007-11-01,-0.0077448147808049095,-0.0077448147808049095,0.0,0,False,0.0,1.0053104221745426,-0.023186567868573982,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
2007-12-01,0.016353919017197294,0.016353919017197294,0.0,0,False,0.0,0.9990967520679424,-0.029224102434098342,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
2008-01-01,-0.029893566133993493,-0.029893566133993493,0.0,0,False,0.0,1.0154604257393651,-0.013324280957378365,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
2008-02-01,0.012694127198820349,0.012694127198820349,0.0,0,False,0.0,0.9851046923460723,-0.042819536817384485,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
2008-03-01,-0.005033317776394902,-0.006033317776394902,0.25,2,True,0.001,0.9908956377133041,-0.037192744241997144,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.014555538062567791,0.01355553806256779,0.25,2,True,0.001,0.9839373147034234,-0.043953823438270034,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
2008-05-01,0.021296103016406998,0.021296103016406998,0.0,0,False,0.0,0.99825905173877,-0.03003805692575312,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
2008-06-01,-0.00668010533745933,-0.00668010533745933,0.0,0,False,0.0,1.0201413739752576,-0.011956206373621825,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
2008-07-01,-0.052335433954426976,-0.05633543395442697,1.0,6,True,0.004,1.0092734152494507,-0.022482217221096445,0.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0,-0.002,0.5,3,True,0.002,0.9545397477775368,-0.07549375251183754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0,False,0.0,0.9545397477775368,-0.07549375251183754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0,False,0.0,0.9545397477775368,-0.07549375251183754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0,False,0.0,0.9545397477775368,-0.07549375251183754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0,False,0.0,0.9545397477775368,-0.07549375251183754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0,False,0.0,0.9545397477775368,-0.07549375251183754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0,False,0.0,0.9545397477775368,-0.07549375251183754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0,False,0.0,0.9545397477775368,-0.07549375251183754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0,False,0.0,0.9545397477775368,-0.07549375251183754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.06273018208861936,0.060730182088619356,0.5,2,True,0.002,0.9526306682819817,-0.07734276500681381,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,-0.014222998622163419,-0.014222998622163419,0.0,0,False,0.0,1.0123893635665135,-0.019464308650309237,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,0.05264804946257562,0.05264804946257562,0.0,0,False,0.0,0.9979901510434142,-0.0334104664373579,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,-0.00841199806229459,-0.00841199806229459,0.0,0,False,0.0,1.0389173115296195,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,0.024004913841318865,0.024004913841318865,0.0,0,False,0.0,1.0301779411181484,-0.01596499719029043,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,0.030102040816326503,0.0281020408163265,0.5,2,True,0.002,1.0527974592882445,-0.024386801612613862,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,0.058967677500110074,0.05856767750011008,0.09999999999999999,2,True,0.00039999999999999996,1.078043112648728,-0.007909045971329465,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
2009-12-01,-0.02057304766883137,-0.02057304766883137,0.0,0,False,0.0,1.1411561661221141,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
2010-01-01,-0.014346616734276774,-0.014346616734276774,0.0,0,False,0.0,1.0889720781781949,-0.05141960469034457,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
2010-02-01,0.007696672216371981,0.007696672216371981,0.0,0,False,0.0,1.0733490131382435,-0.06502852406350079,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
2010-03-01,0.05927559242565278,0.05567559242565278,0.9,6,True,0.0036,1.0777164318429364,-0.0612241586032668,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.25,0.4,0.0,0.0
2010-04-01,0.035866637552958026,0.035866637552958026,0.0,0,False,0.0,1.1415987118072872,-0.0055776644495847405,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.25,0.4,0.0,0.0
2010-05-01,-0.0549839556591933,-0.056583955659193295,0.4,3,True,0.0016,1.1645461507960306,-0.0255131215024752,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.25,0.1,0.0,0.0
2010-06-01,-0.039563133604761005,-0.039563133604761005,0.0,0,False,0.0,1.0987539732025735,-0.08056771399653617,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.25,0.1,0.0,0.0
2010-07-01,0.0627785538368443,0.0627785538368443,0.0,0,False,0.0,1.0552838229619979,-0.1169433363682223,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.25,0.1,0.0,0.0
2010-08-01,-0.04720837141494313,-0.048808371414943125,0.4,3,True,0.0016,1.106577325613405,-0.07402116857623997,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.25,0.4,0.0,0.0
2010-09-01,0.06578048700921002,0.06418048700921002,0.4,3,True,0.0016,1.0509664309716555,-0.12055611018662615,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.25,0.1,0.0,0.0
2010-10-01,0.029826077898412896,0.029826077898412896,0.0,0,False,0.0,1.1200995146313024,-0.06270586281742829,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.25,0.1,0.0,0.0
2010-11-01,0.02926657550583245,0.02926657550583245,0.0,0,False,0.0,1.1535076900086705,-0.034750054868094904,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.25,0.1,0.0,0.0
2010-12-01,0.03803699566961003,0.03803699566961003,0.0,0,False,0.0,1.1872669099148676,-0.009099774166110186,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.25,0.1,0.0,0.0
2011-01-01,0.014501429763375782,0.013501429763375782,0.25,2,True,0.001,1.2019986083194505,-0.01907224972110244,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.25,0.1,0.0,0.0
2011-02-01,0.00022597208498438808,-0.001374027915015612,0.4,3,True,0.0016,1.2162607416031055,-0.0074331993767151605,0.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.25,0.4,0.0,0.0
2011-03-01,0.02141353439823196,0.01981353439823196,0.4,3,True,0.0016,1.2145891256466441,-0.030091010238055493,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.25,0.1,0.0,0.0
2011-04-01,0.016165932290175034,0.014565932290175033,0.4,2,True,0.0016,1.238612815233728,-0.010906915793477134,0.0,0.4,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.1,0.0,0.0
2011-05-01,-0.03401577842825674,-0.035615778428256736,0.4,3,True,0.0016,1.2688761078596495,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
2011-06-01,0.0031179391428460042,0.002717939142846004,0.1,2,True,0.0004,1.223263655180295,-0.035947128641498405,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.25,0.1,0.0,0.0
2011-07-01,0.012437540173607098,0.012437540173607098,0.0,0,False,0.0,1.227077716812802,-0.03294127045811701,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.25,0.1,0.0,0.0
2011-08-01,0.0005289211052133397,-0.00047107889478666034,0.25,2,True,0.001,1.2410972056665877,-0.027648494687348424,0.0,0.0,0.4,0.0,0.25,0.0,0.25,0.0,0.0,0.1,0.0,0.0
2011-09-01,-0.07050384771643436,-0.07250384771643437,0.5,4,True,0.002,1.2392701408759415,-0.029079929059593557,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.25
2011-10-01,0.03687231910925633,0.035872319109256326,0.25,2,True,0.001,1.1600864653657432,-0.09111726644701956,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.0
2011-11-01,0.02606671390076959,0.02506671390076959,0.25,2,True,0.001,1.2004570234851601,-0.05948850056268773,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.25
2011-12-01,0.02268247713633409,0.02108247713633409,0.4,3,True,0.0016,1.2297781948772915,-0.036516500456252654,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2012-01-01,0.032605328202040984,0.032605328202040984,0.0,0,False,0.0,1.2370076377103925,-0.03085251250330101,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2012-02-01,0.008486845597744198,0.006886845597744198,0.4,3,True,0.0016,1.2752969326420092,-0.0008543355723319435,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.25
2012-03-01,0.04435838846463285,0.042758388464632854,0.4,3,True,0.0016,1.2840623885113378,-0.017392881755489586,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2012-04-01,-0.009434559001323208,-0.009834559001323207,0.1,2,True,0.0004,1.330549139535501,-0.0011792020978432793,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2012-05-01,-0.06742943267737085,-0.06782943267737085,0.1,2,True,0.0004,1.3169418092576133,-0.011393995435143633,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2012-06-01,0.0687781770272021,0.0687781770272021,0.0,0,False,0.0,1.228141170190262,-0.07805513746439419,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2012-07-01,0.0035293151034239134,0.0015293151034239134,0.5,4,True,0.002,1.30640641581217,-0.01930273760385781,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.25,0.4,0.0,0.0
2012-08-01,0.02525942062530341,0.02325942062530341,0.5,4,True,0.002,1.3057783112324215,-0.019774245118213463,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2012-09-01,0.02817838410516911,0.02717838410516911,0.25,2,True,0.001,1.3367099834318985,-0.005842705381398083,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2012-10-01,-0.012421081460630801,-0.012421081460630801,0.0,0,False,0.0,1.373001934471474,-0.013409282463796912,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2012-11-01,-0.011907184876958011,-0.011907184876958011,0.0,0,False,0.0,1.3559477655978,-0.028252771760604145,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2012-12-01,0.022914897322667126,0.021914897322667125,0.25,2,True,0.001,1.3432249247015422,-0.03737066382838505,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2013-01-01,0.028034482090613776,0.028034482090613776,0.0,0,False,0.0,1.3175079856091083,-0.055800845960700785,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2013-02-01,0.0034282894207117607,0.0024282894207117607,0.25,2,True,0.001,1.3530891959962716,-0.03030138097512647,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2013-03-01,0.03186196290243226,0.03186196290243226,0.0,0,False,0.0,1.357727977372185,-0.02697697345824468,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2013-04-01,0.01679317677155412,0.01679317677155412,0.0,0,False,0.0,1.4009878558188118,-0.0037772982776932418,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2013-05-01,0.047470039850304374,0.047470039850304374,0.0,0,False,0.0,1.424514892536378,-0.009826927633209914,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2013-06-01,-0.018336960502434593,-0.018336960502434593,0.0,0,False,0.0,1.4859586853335842,-0.016146943727796348,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2013-07-01,0.0585451287800689,0.0585451287800689,0.0,0,False,0.0,1.458710719612373,-0.034187818360859046,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2013-08-01,-0.03509161152882047,-0.03509161152882047,0.0,0,False,0.0,1.5441111265449465,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2013-09-01,0.033254014072292046,0.033254014072292046,0.0,0,False,0.0,1.4839643457352847,-0.040781600347151725,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2013-10-01,0.036951115280873637,0.036951115280873637,0.0,0,False,0.0,1.5333121169711457,-0.015064116764576196,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2013-11-01,0.02979169831445886,0.02879169831445886,0.25,2,True,0.001,1.58837974005714,-0.007295066077904866,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.25
2013-12-01,0.021594314349650746,0.021594314349650746,0.0,0,False,0.0,1.6397391240929797,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.25
2014-01-01,-0.034801038110084184,-0.034801038110084184,0.0,0,False,0.0,1.6205777539774875,-0.039264484047410675,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.25
2014-02-01,0.06287706723037836,0.06287706723037836,0.0,0,False,0.0,1.600173732784062,-0.05136070576874474,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.25
2014-03-01,0.01929084151655951,0.01929084151655951,0.0,0,False,0.0,1.7153401624586975,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.25
2014-04-01,-0.004809106129154306,-0.004809106129154306,0.0,0,False,0.0,1.7484305176796782,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.25
2014-05-01,0.02987984421562745,0.02987984421562745,0.0,0,False,0.0,1.7400221297607044,-0.00815992098498386,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.25
2014-06-01,0.024734737478791867,0.024734737478791867,0.0,0,False,0.0,1.790534300548777,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.25
2014-07-01,-0.015147456683601995,-0.016147456683601995,0.25,2,True,0.001,1.8329878737232042,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.4,0.0,0.25
2014-08-01,0.03572652078076612,0.03572652078076612,0.0,0,False,0.0,1.8052227693044143,-0.029704223471274438,0.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.4,0.0,0.25
2014-09-01,-0.033613053197078926,-0.033613053197078926,0.0,0,False,0.0,1.8756900135937002,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.4,0.0,0.25
2014-10-01,0.046096352097523594,0.04509635209752359,0.25,2,True,0.001,1.81082970304016,-0.03510504367499123,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2014-11-01,0.03373109333504426,0.03373109333504426,0.0,0,False,0.0,1.8887154583707841,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2014-12-01,-0.008134618502513825,-0.008134618502513825,0.0,0,False,0.0,1.9524238957804296,-0.007394876904433634,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2015-01-01,-0.00597321801131343,-0.00597321801131343,0.0,0,False,0.0,1.8774953458880423,-0.048762586922645235,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2015-02-01,0.05531786616642022,0.05531786616642022,0.0,0,False,0.0,1.8483864091389388,-0.06351069788403496,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2015-03-01,-0.027946460285704196,-0.027946460285704196,0.0,0,False,0.0,1.9380592642119217,-0.018077735895765223,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2015-04-01,0.022260394322402333,0.022260394322402333,0.0,0,False,0.0,1.8838973679532822,-0.04551898745320293,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2015-05-01,0.012660513267228857,0.012660513267228857,0.0,0,False,0.0,1.9258336662268587,-0.024271863740665145,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2015-06-01,-0.01704445117951971,-0.01704445117951971,0.0,0,False,0.0,1.9502157089085994,-0.011918644726345518,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2015-07-01,0.0232026518049141,0.0232026518049141,0.0,0,False,0.0,1.9169753524685749,-0.028759949147700747,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2015-08-01,-0.0866820220436868,-0.0866820220436868,0.0,0,False,0.0,1.9659913151999266,-0.012351168493097031,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25
2015-09-01,0.008585267775259964,0.006585267775259964,0.5,3,True,0.002,1.7919840622527148,-0.09976664114464495,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
2015-10-01,0.055268075975669545,0.055268075975669545,0.0,0,False,0.0,1.8073687252761523,-0.09203789669865015,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
2015-11-01,0.005317984728060854,0.003317984728060854,0.5,3,True,0.002,1.897706784268333,-0.04665505206733711,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2015-12-01,-0.038491618227048774,-0.038491618227048774,0.0,0,False,0.0,1.9039831624454793,-0.04350200783726965,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25
2016-01-01,-0.006558938934849934,-0.008558938934849934,0.5,4,True,0.002,1.8603368646754235,-0.06542846023760196,0.25,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.0
2016-02-01,0.012383470060947045,0.012383470060947045,0.0,0,False,0.0,1.8444387587242037,-0.07341514138135785,0.25,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.0
2016-03-01,0.0,-0.003,0.75,5,True,0.003,1.8616774729394991,-0.06475498310914973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,-0.019865204527276265,-0.023865204527276265,1.0,6,True,0.004,1.8542307630477415,-0.06849596317671303,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.25,0.0
2016-05-01,0.01587742516812632,0.01587742516812632,0.0,0,False,0.0,1.8034591541196583,-0.09400193558048608,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.25,0.0
2016-06-01,0.00860198868297395,0.00860198868297395,0.0,0,False,0.0,1.8320934418829655,-0.07961701911019792,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.25,0.0
2016-07-01,0.03898797985074259,0.03898797985074259,0.0,0,False,0.0,1.8478530889361937,-0.07169989512458197,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.25,0.0
2016-08-01,0.006585737843430617,0.006585737843430617,0.0,0,False,0.0,1.9198971479347704,-0.03550734934025701,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.25,0.0
2016-09-01,0.0005487581228310447,0.0005487581228310447,0.0,0,False,0.0,1.9325410872374194,-0.02915545359109617,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.4,0.25,0.0
2016-10-01,-0.0215809502677771,-0.0225809502677771,0.25,2,True,0.001,1.9390832449709974,-0.025868890526881905,0.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.25,0.4,0.0,0.0
2016-11-01,0.04848299290780998,0.04848299290780998,0.0,0,False,0.0,1.8953387499103027,-0.04784467398916081,0.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.25,0.4,0.0,0.0
